YO.dat

  -0.5545,   0.2097,  -0.4912,   1.8018,   1.9614,  -0.2191,   1.3156,  -0.6904,   1.0602,   0.4754,  -0.8416,
   0.6253,   0.3894,   1.0279,  -1.8036,  -2.2403,  -1.0984,  -2.5084,   1.3160,  -0.0155,  -0.1310,  -1.4725,
   1.4755,   1.3098,   0.9752,  -0.6547,  -0.5604,  -0.0243,   0.3391,  -0.4046,  -0.4518,  -0.8447,   0.2297,
   6.4245,   4.8695,   4.5319,   0.3115,  -0.1856,  -0.0842,   0.3382,   3.8256,   1.9671,   2.6986,   0.3942,
   1.8045,   1.0543,   0.6517,   0.0878,  -0.2826,  -0.0455,   1.1834,  -2.2326,  -1.9616,  -1.8793,  -1.2953,
  -0.3104,  -0.6993,  -0.2497,  -1.1246,  -0.7202,  -1.2546,  -0.3011,  -1.2870,  -0.7662,  -1.3920,   1.1785,
   0.9070,   2.2181,   1.0088,  -0.3186,   0.8939,   2.3439,  -0.1055,  -0.0646,   0.5885,  -0.1855,   1.3114,
   1.7019,   0.2837,   0.2625,  -1.1280,  -0.9499,   0.2793,  -1.3185,   1.0936,   2.2319,  -0.1229,  -0.0246,
   1.4677,   0.3894,   0.0273,   0.2412,  -0.1486,  -0.0652,  -0.5583,   0.1328,  -0.6522,   0.0990,   0.2199,
   0.1928,   0.7945,  -0.2899,  -0.3641,   1.0042,  -0.2221,  -1.0682,   0.9524,  -0.0801,  -0.1328,   0.1537,
   2.0727,   1.6746,   1.5479,   1.1980,  -0.0821,  -0.2688,  -0.4826,   1.6169,   0.8090,   1.2084,  -0.1945,
   1.2858,   0.6830,   1.2063,  -0.6482,  -0.8851,  -0.7331,  -0.8086,  -0.0724,  -0.1058,   0.1416,   1.0555,
   0.0930,  -0.3338,   0.0324,  -0.1079,  -1.4039,  -1.3234,  -0.5181,  -0.2031,   0.9548,   0.6845,  -0.7457,
   0.6256,   1.4116,   0.9401,   0.0953,  -1.7896,  -1.5668,  -0.8832,   1.0454,   0.2452,  -0.4004,   4.1674,
   0.4939,   0.9398,  -0.2991,  -0.6165,   1.1412,   0.7335,   0.6350,   0.1252,   0.3478,  -0.0394,  -0.1673,
   1.9874,   0.8066,   1.9235,  -0.8235,   0.3403,  -0.0396,   0.3807,   1.0001,   0.4909,   1.4055,   0.1449,
   3.5822,   3.6072,   2.6665,   2.0605,   1.1406,   0.9132,   0.2932,   1.4671,   0.8669,   0.9087,   0.6943,
   0.7185,   0.9932,  -0.9210,   1.4950,  -0.7636,   0.0311,  -0.6159,  -0.1648,  -0.7827,  -0.8878,   0.0503,
  -3.1626,  -1.0175,  -0.8382,   1.1312,   1.3107,  -0.0729,  -0.5481,  -0.5337,  -0.1425,   0.2525,  -0.1005,
  -1.3543,  -0.3178,  -0.7302,   0.4033,  -0.6911,  -0.5662,  -0.1492,   0.3326,  -0.0628,  -0.1465,  -0.9910,
  -0.0178,   0.5133,   0.6984,  -0.4467,   1.0540,   0.3702,   1.1263,  -2.4637,  -2.2111,  -0.1617,   0.3076,
   0.0333,   1.1584,   0.6252,   0.0554,   2.0072,   1.5966,   0.5774,  -0.7472,  -0.3037,   0.6415,  -1.1290,
   4.9820,   5.4641,   3.7739,  -2.5295,  -2.0181,  -1.6803,  -1.4870,  -3.0716,  -2.4885,  -2.1574,   0.4149,
   0.5719,   0.3265,   0.2980,   1.4210,  -0.1152,   1.0532,   1.0421,   0.4244,  -0.2068,   0.8060,   1.5668,
  -1.1391,  -0.7721,  -1.4458,  -1.2063,  -0.2896,  -0.4426,  -1.1631,   0.0755,  -0.6627,   0.2277,  -0.5685,
   0.4287,   0.8835,   0.1672,  -0.3071,   0.3713,   0.0773,   1.1732,   1.5702,   0.3562,   0.0168,   0.7436,
   0.1977,   0.5592,   0.0578,   0.5562,   2.0961,   0.5553,   0.5643,   0.3424,   1.0790,   0.2006,   1.1279,
   2.6260,   1.9497,   2.2594,   2.0532,   0.3292,   1.4827,   0.8378,  -3.1067,  -2.5550,  -2.5104,  -1.2598,
   0.2786,   1.2019,   1.0018,  -2.3158,  -1.4929,  -1.3173,  -0.9878,   1.5030,   1.7108,   1.0066,  -1.0624,
  -0.1228,   0.7849,   0.0041,  -2.2508,  -0.7506,  -1.0953,   1.8173,  -0.3238,   0.0108,   0.5337,   0.6044,
   1.9071,   2.4105,   1.0337,   1.8766,   0.5230,   0.4317,  -0.4494,   1.1985,   0.3420,   0.9546,  -0.4798,
   2.1205,   1.5225,   1.5960,   0.4727,  -0.3363,  -1.0379,  -0.1469,  -1.6202,  -1.6551,  -1.2630,   0.6876,
   1.7825,   1.3202,  -0.1522,  -1.0741,  -0.3867,  -1.9978,  -2.9137,   0.1629,   1.2671,  -0.0228,   0.6456,
  -0.7466,   0.3733,  -0.2637,  -1.1865,  -0.2709,  -1.6403,   1.2004,   0.1920,  -0.0214,   0.7204,   0.5310,
   1.5495,   0.4005,   0.0651,  -0.6794,   0.4527,  -1.0908,  -1.2931,  -1.6751,   0.0319,  -1.3746,   1.6872,
   2.4960,   2.6701,   3.0170,  -2.4332,  -0.8053,  -0.6715,  -0.7988,   1.1186,   1.3667,   1.4490,   0.5419,
