"V1" "V2" "V3" "V4" "V5" "V6" "V7" "V8" "V9" "V10"
"1" 0 0 0 -0.763359104734222 0.68429749664908 -0.236446334014017 0.0519605896693198 0 1 0
"2" 1 1 1 -0.164128407363564 0.0785979722563093 -0.139002438088593 -0.203991574285627 1 1 1
"3" 1 1 0 0.0452955346216886 0.388001491377035 0.288947040112129 0.0919090154150431 0 0 0
"4" 0 1 0 -1.93733715603603 -1.15292193773258 -1.69258083878408 -1.52478728173842 1 1 1
"5" 1 0 0 -0.7948456236696 -0.659084834269318 -0.789867870600087 -0.866577942755229 0 0 1
"6" 0 0 1 -0.756535424291481 -0.757724572978938 -0.182176174417852 -0.408372032361065 0 0 1
"7" 0 1 1 -1.45196245269051 -0.247308395923333 -0.503789394243566 -0.566061938827504 1 0 0
"8" 1 0 1 -0.14588007426906 -0.347462937510135 -0.360794736831931 -0.288761086461554 1 0 1
"9" 0 1 1 1.03090347095748 0.269979342871283 -0.0539236531064067 -0.420718601731102 0 1 1
"10" 1 0 1 1.3585640742666 0.782294836178831 1.08394896089171 0.754536827350379 0 0 1
"11" 0 0 0 -1.62264250309505 -0.498966999958918 -0.872395424717734 -0.943898436920598 1 1 0
"12" 0 0 0 -0.621811107968376 0.18655279940039 -0.41144362034369 -0.321026130716902 1 1 0
"13" 1 1 0 0.433096776612063 0.85622436991132 1.21096966308431 0.813624845778765 1 1 0
"14" 1 1 1 0.595723722558063 0.467622929564586 1.02427263590124 0.700981710544035 1 0 0
"15" 1 0 0 -0.0987230680325718 -0.0109152828631502 -0.19749356893179 -0.12748948074346 0 0 0
"16" 1 1 1 2.32443376191004 1.70210769644642 2.6796063481426 1.9680502974434 1 1 1
"17" 1 0 0 -1.30246555838489 -0.671814180540522 -0.464305678875099 -0.259372008032237 1 1 1
"18" 0 0 0 -0.956301869693603 -0.462965711480907 -0.704382120981747 -0.614958367759437 1 1 0
"19" 1 0 0 -1.06138621697539 -0.267516719084858 -0.824415260041007 -0.906901997392568 1 1 1
"20" 0 1 0 -0.616402964386448 -0.396643374184102 -0.993968059654616 -0.284898847874845 0 1 0
"21" 0 1 1 0.0254050033513827 0.0538661636167056 0.363997533579827 0.35409598372914 1 0 0
"22" 1 1 1 -0.0113051428966913 -0.366491155944021 0.308952544496911 0.117706783313479 1 0 1
"23" 1 1 0 0.845530858974493 0.321735748024529 0.582512913628752 0.393650063493431 1 1 0
"24" 0 0 1 -0.293916246118714 -1.4160002506081 -0.754844594741349 -1.06249440605101 1 1 0
"25" 0 0 1 -0.538258422518104 -0.472185261551694 -1.22301665812985 -0.554181219242452 0 1 1
"26" 0 0 1 -0.983873383719743 -0.738398982752278 -1.38477089269459 -0.888771306822864 0 0 1
"27" 0 1 0 0.0328280192718654 0.46905360968005 0.533776465291271 0.485231051440598 0 0 0
"28" 0 0 1 -0.157908682062965 -0.631725395622692 -0.678503643153574 -0.0544576685788719 1 1 0
"29" 1 0 1 -0.564454955659278 -0.461721435677389 -0.263150142631782 -0.291244735172665 1 0 1
"30" 1 0 0 1.66030325885905 1.35120158886865 1.8493904882283 0.527650061467298 0 0 0
"31" 0 0 0 -0.230066223109469 0.0448098178466966 -0.357640514913801 -0.0663254933631542 1 0 0
"32" 0 1 1 -0.307473076927404 -0.653126993361237 0.0393053819590553 -0.842150789903798 1 1 1
"33" 0 0 0 -0.8760418398169 -1.15643234246395 -1.03442151089972 -0.974474560858741 0 0 0
"34" 1 1 0 -0.1142270618092 -0.345675714260211 -0.431380843651272 -0.150372620319713 0 0 0
"35" 0 1 1 0.0716425223451867 0.163291637048402 0.36922826364931 0.149203168762619 0 1 1
"36" 1 1 1 1.59950918882202 0.854175939407342 1.10701547759579 0.430027300598889 1 1 1
"37" 0 0 1 -1.81717833920419 -1.17402022889873 -0.719560265342609 -0.63705241480461 1 0 0
"38" 0 0 0 0.51368958708894 0.451633099166374 -0.0405294382665276 0.464671882617312 1 1 0
"39" 0 1 0 -0.7657313883252 -0.483839210621597 0.0334741885909952 -0.0976221436744847 1 0 1
"40" 0 0 1 0.544842290305721 0.16958208969421 0.320731861115863 0.215053447413717 0 0 0
"41" 0 1 0 -0.460951270228596 0.142917061978634 -1.22408957540504 -0.216012011831312 1 1 1
"42" 1 0 1 0.817858365479293 1.03377686319548 1.0202124761653 0.856462731965472 0 1 0
"43" 1 1 0 0.406627123227905 0.182717683492822 0.151161368388368 0.0598443992078516 0 0 1
"44" 0 1 1 0.176002282142808 0.268359929516735 0.380488211664628 -0.154207932736341 1 0 1
"45" 1 1 0 0.880998178986124 0.529148664318678 0.885720849767876 0.69917718229132 1 0 1
"46" 0 1 0 -0.568703399781332 -0.482982946255236 -0.256625655570577 -0.249364815651292 1 0 1
"47" 0 0 1 -0.801857030773854 -1.01253120739667 -0.695748253029325 -0.641161763242379 0 1 1
"48" 1 1 0 0.520285328406054 0.548831579719047 0.798143630051351 0.610255082027017 0 1 1
"49" 1 1 1 0.158788807513468 0.103421792363749 -0.177063591400295 -0.525107546975253 0 0 0
"50" 1 1 1 0.871997552116954 0.567356769477523 0.563435879322003 0.79393845961363 0 0 0
"51" 1 0 1 1.24100286505906 1.19450135085337 1.34954799845073 1.07659150218685 0 1 1
"52" 1 0 1 -0.189605585261205 -0.683192754523062 -0.630751757291176 -0.276938298345125 1 1 0
"53" 1 1 1 0.00845574323530149 0.211676810396902 0.0720525983526085 0.431017952084472 1 0 0
"54" 0 0 1 -0.810153232789461 -0.114489856969822 -0.329600623935993 -0.209377797974546 0 0 0
"55" 1 1 1 0.467239925550433 0.160980271175066 0.417798565475546 0.39678503500464 1 1 1
"56" 1 0 1 0.566696300615408 0.114915591258242 0.384183761110045 0.0710513486396323 1 1 1
"57" 0 1 1 1.67210519447596 1.26138069134982 1.49835139182449 1.26431861353117 1 1 0
"58" 0 0 1 0.414325280137183 0.151315433767192 0.244764290261617 0.299281798406946 1 0 0
"59" 1 0 0 -1.43006121258357 -0.667586888469509 -1.24347311151449 -0.755440087835062 0 0 0
"60" 1 1 1 -1.13571773050703 -0.407571935988274 -1.18641410841137 -0.526438003275862 1 1 0
"61" 1 0 1 0.718263429345868 0.780827630290048 0.525529236914556 0.968844157118913 0 0 0
"62" 1 1 0 -1.72357053623391 -1.21103413449678 -1.53483825094744 -1.36098102410071 1 1 1
"63" 1 0 1 1.08426892764093 0.991064570881186 1.01691679556464 0.750334268073272 0 1 1
"64" 0 0 1 -1.13017362967429 -0.722313579088818 -0.537559895985238 -0.859447345208165 0 0 1
"65" 1 1 0 -0.587966122132898 -0.565309236081502 -0.506583944786701 -0.106199681856933 1 1 1
"66" 0 0 0 -1.27927868092362 -1.06276564431461 -1.18714980029404 -1.07520337810962 1 0 1
"67" 1 0 0 0.284471992306884 -0.24121214470638 -0.146248532021308 -0.110135150965597 1 0 0
"68" 1 1 1 0.459282291172303 0.431633569687672 -0.0369047852355823 -0.140995948272126 0 0 0
"69" 1 0 0 0.855218963520447 0.243704937296494 0.301514003057127 -0.154848697548264 0 0 0
"70" 1 0 0 -0.813218478103415 -0.384411645359979 -0.652215482323893 0.121939612080073 1 0 0
"71" 1 1 0 0.810436839874569 0.68981523918925 1.24857973164817 0.759231642809036 1 1 0
"72" 1 1 1 1.14954327571564 0.548478368057738 0.6318993357792 0.292432840288325 1 1 1
"73" 0 1 0 0.0222304164791698 0.189488891753051 0.268997530381602 -0.0211090472217754 0 1 1
"74" 1 0 1 0.920309417452984 1.18877532596094 0.773992255307998 1.23680904632824 1 1 1
"75" 1 1 0 0.809698745602258 0.878272471356979 0.675135607482512 0.208153756426365 0 1 1
"76" 1 1 1 -0.886585215187637 -0.761578503305911 -0.64057083203041 -0.253551552278945 1 0 0
"77" 0 0 0 0.144283782246638 0.0347279917877998 -0.0304011001360356 0.110271348350133 0 0 0
"78" 0 0 1 1.50221069513174 0.666922457478594 1.1687665676762 0.940658275593864 0 1 0
"79" 0 0 0 -0.703065583895439 -0.320581989637401 -0.874693127302059 -0.45430459325592 1 0 1
